plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,117,2022,yb,4,14.51,19.4,22.77,23.21,,,NA
A1,2,117,2022,rm,2,10.43,35.3,16.22,16.82,,,NA
A1,6,117,2022,rm,3,64.49,35.1,82.35,82.77,,,NA
A1,8,117,2022,yb,3,26.95,27.0,36.52,36.60,,,NA
A1,9,117,2022,yb,2,32.69,18.0,46.28,46.18,,,NA
A1,10,117,2022,yb,2,29.84,16.7,42.59,43.52,,,NA
A1,14,117,2022,ro,3,69.21,62.7,115.42,115.36,64.0,,"needs new ASAP, line drawn"
A1,14,117,2022,ro,4,NA,NA,10.88,11.28,64.0,,needs dbh
A1,15,117,2022,rm,1,33.45,23.0,35.67,35.85,,,NA
A1,18,117,2022,rm,2,31.42,29.0,44.16,,,,duplicate B1-154
A1,19,117,2022,ro,4,NA,NA,19.31,21.00,,,dupliacte B1-155
A1,801,117,2022,hem,1,39.93,10.9,62.73,62.92,,,NA
A1,828,117,2022,yb,1,36.84,11.9,50.04,50.10,,,NA
A1,903,117,2022,hem,1,21.59,10.3,47.38,47.50,,,NA
A2,25,117,2022,rm,2,12.13,16.1,13.21,14.31,,,NA
A2,26,117,2022,bo,2,65.64,43.8,93.98,94.46,,,NA
A2,27,117,2022,rm,4,10.20,13.0,20.50,20.73,,,NA
A2,29,117,2022,rm,1,54.72,16.9,58.74,58.56,,,NA
A2,30,117,2022,rm,2,84.48,25.0,100.33,100.29,,,NA
A2,31,117,2022,bo,2,49.52,43.3,79.57,79.66,,,NA
A2,32,117,2022,ro,2,54.14,45.7,86.76,87.28,,,NA
A2,33,117,2022,bo,2,22.95,33.9,30.87,30.84,,,NA
A2,34,117,2022,ro,2,21.78,43.4,41.82,42.35,,,NA
A2,35,117,2022,rm,1,26.92,22.2,29.32,29.13,,,NA
A2,892,117,2022,hem,2,18.12,12.8,35.98,36.18,,,NA
A2,893,117,2022,rm,1,20.29,10.6,29.52,29.97,,,NA
A2,911,117,2022,beech,1,32.69,10.1,53.56,53.57,,,NA
A2,990,117,2022,hem,1,29.17,10.3,56.10,56.24,,,NA
A3,51,117,2022,ro,2,48.06,25.5,76.66,76.77,,,NA
A3,52,117,2022,beech,3,23.63,16.2,55.62,55.81,,,bark disease
A3,53,117,2022,rm,2,18.55,12.0,19.10,18.90,,,NA
A3,54,117,2022,ro,4,20.95,40.3,27.27,27.70,,,NA
A3,55,117,2022,rm,3,43.26,18.5,46.16,47.86,,,NA
A3,56,117,2022,rm,3,28.99,15.9,36.62,37.11,,,NA
