plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,321,2022,yb,4,14.51,19.4,23.21,25.21,,,NA
A1,2,321,2022,rm,2,10.43,35.3,16.82,23.72,,,NA
A1,6,321,2022,rm,3,64.49,35.1,72.77,77.66,,,NA
A1,8,321,2022,yb,3,26.95,27.0,36.60,38.61,,,NA
A1,9,321,2022,yb,2,32.69,18.0,46.18,48.12,,,NA
A1,10,321,2022,yb,2,29.84,16.7,43.52,44.05,,,NA
A1,14,321,2022,ro,3,115.36,64.00,115.36,NA,,"too big, hole covered","needs new ASAP, line drawn"
A1,14,321,2022,ro,4,11.28,64.00,11.28,21.01,,,needs dbh
A1,15,321,2022,rm,1,33.45,23.0,35.85,36.36,,,NA
A1,18,321,2022,rm,2,31.42,29.0,44.10,49.41,,,duplicate B1-154
A1,19,321,2022,ro,4,NA,NA,21.00,31.34,,,dupliacte B1-155
A1,801,321,2022,hem,1,39.93,10.9,62.92,64.00,12.10,needs new band 12.1 cm DBH,NA
A1,828,321,2022,yb,1,36.84,11.9,50.10,51.14,,,NA
A1,903,321,2022,hem,1,21.59,10.3,47.50,50.12,,,NA
A2,25,321,2022,rm,2,12.13,16.1,14.31,14.69,,,NA
A2,26,321,2022,bo,2,65.64,43.8,94.46,100.30,,,NA
A2,27,321,2022,rm,4,10.20,13.0,20.73,21.83,,,NA
A2,29,321,2022,rm,1,54.72,16.9,58.56,59.19,,,NA
A2,30,321,2022,rm,2,84.48,25.0,100.29,103.02,25.70,needs new band 25.7 cm DBH,NA
A2,31,321,2022,bo,2,49.52,43.3,79.66,86.25,,,NA
A2,32,321,2022,ro,2,54.14,45.7,87.28,95.37,,,NA
A2,33,321,2022,bo,2,22.95,33.9,30.84,34.48,,,NA
A2,34,321,2022,ro,2,21.78,43.4,42.35,45.82,,,NA
A2,35,321,2022,rm,1,26.92,22.2,29.13,30.09,,,NA
A2,892,321,2022,hem,2,18.12,12.8,36.18,39.90,,,NA
A2,893,321,2022,rm,1,20.29,10.6,29.97,31.40,,,NA
A2,911,321,2022,beech,1,32.69,10.1,53.57,56.32,,,NA
A2,990,321,2022,hem,1,29.17,10.3,56.24,58.34,,,NA
A3,51,321,2022,ro,2,48.06,25.5,76.77,83.40,,,NA
A3,52,321,2022,beech,3,23.63,16.2,55.81,59.63,,,bark disease
A3,53,321,2022,rm,2,18.55,12.0,18.90,18.80,,,NA
A3,54,321,2022,ro,4,20.95,40.3,27.70,38.54,,,NA
A3,55,321,2022,rm,3,43.26,18.5,47.86,47.07,,,NA
A3,56,321,2022,rm,3,28.99,15.9,37.11,40.48,,,NA
A3,57,321,2022,ro,4,27.14,62.2,34.33,47.15,,,NA
A3,58,321,2022,ro,3,60.39,44.1,102.07,110.70,46.00,needs new band 46.0 cm DBH,NA
A3,60,321,2022,rm,1,88.29,23.2,110.48,114.78,25.20,needs new band 25.2 cm DBH,NA
A3,61,321,2022,ro,2,66.50,50.5,110.79,123.03,52.50,needs new band 52.5 cm DBH,NA
A3,70,321,2022,ro,2,15.52,45.3,22.58,26.80,,,NA
A3,263,321,2022,bb,1,15.10,10.6,18.58,19.62,,,NA
A3,709,321,2022,hem,1,5.82,10.0,30.65,37.66,,,NA
A3,891,321,2022,hem,2,24.44,13.5,57.66,65.23,,,NA
A3,984,321,2022,rm,1,15.98,10.5,32.27,45.10,,,NA
B1,152,321,2022,rm,2,54.89,18.8,85.52,missed this one?,,,NA
B1,153,321,2022,ro,3,124.58,56.50,124.58,NA,,too big to measure,remove next
B1,153,321,2022,ro,4,9.83,56.50,9.83,22.05,,,NA
