plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes,
A1,1,182,2021,yb,4,14.51,19.4,19.59,21.94,,,NA,
A1,2,182,2021,rm,1,115.72,35.3,115.72,118.96,,"check if inc matches, rm next",NA,
A1,2,182,2021,rm,2,10.43,35.3,10.43,14.34,,,NA,
A1,6,182,2021,rm,3,64.49,35.1,80.06,81.57,,,NA,
A1,8,182,2021,yb,3,26.95,27.0,35.01,35.87,,,NA,
A1,9,182,2021,yb,2,32.69,18.0,44.56,45.76,,,NA,
A1,10,182,2021,yb,2,29.84,16.7,41.11,42.13,,,NA,
A1,14,182,2021,ro,3,69.21,62.7,110.08,113.79,,,NA,
A1,15,182,2021,rm,1,33.45,23.0,35.09,35.34,,,NA,
A1,18,182,2021,rm,2,31.42,29.0,38.83,42.83,,,duplicate of B1 154,
A1,19,182,2021,ro,3,75.59,54.2,126.96,131.29,,,"rm next if matches, Duplicate of B1 155",
A1,19,182,2021,ro,4,NA,NA,12.88,17.17,,,DBH 2021,
A1,801,182,2021,hem,1,39.93,10.9,61.03,62.49,,,NA,
A1,828,182,2021,yb,1,36.84,11.9,48.18,49.73,,,NA,
A1,903,182,2021,hem,1,21.59,10.3,44.63,47.04,,,NA,
A2,25,182,2021,rm,2,12.13,16.1,12.57,12.77,,,NA,
A2,26,182,2021,bo,2,65.64,43.8,91.09,93.00,,,NA,
A2,27,182,2021,rm,4,10.20,13.0,18.50,19.96,,,NA,
A2,29,182,2021,rm,1,54.72,16.9,58.53,58.81,,,NA,
A2,30,182,2021,rm,2,84.48,25.0,98.14,99.48,,,NA,
A2,31,182,2021,bo,2,49.52,43.3,75.89,78.37,,,NA,
A2,32,182,2021,ro,2,54.14,45.7,83.12,85.54,,,NA,
A2,33,182,2021,bo,2,22.95,33.9,28.10,29.78,,,NA,
A2,34,182,2021,ro,2,21.78,43.4,40.06,41.33,,,NA,
A2,35,182,2021,rm,1,26.92,22.2,29.45,29.12,,,NA,
A2,892,182,2021,hem,2,18.12,12.8,31.29,35.28,,,NA,
A2,893,182,2021,rm,1,20.29,10.6,28.32,29.28,,,NA,
A2,911,182,2021,beech,1,32.69,10.1,50.69,53.02,,,NA,
A2,990,182,2021,hem,1,29.17,10.3,53.12,55.78,,,NA,
A3,51,182,2021,ro,2,48.06,25.5,72.21,75.38,,,NA,
A3,52,182,2021,beech,3,23.63,16.2,51.53,54.57,,bark disease,NA,
A3,53,182,2021,rm,2,18.55,12.0,19.20,19.15,,,only one living branch,
A3,54,182,2021,ro,4,20.95,40.3,20.95,25.43,,,NA,
A3,55,182,2021,rm,3,43.26,18.5,45.30,45.93,,,NA,
A3,56,182,2021,rm,3,28.99,15.9,33.90,36.00,,,NA,
A3,57,182,2021,ro,4,27.14,62.2,26.39,33.08,,,NA,
A3,58,182,2021,ro,3,60.39,44.1,94.37,97.99,,,NA,
A3,60,182,2021,rm,1,88.29,23.2,106.58,109.86,,,NA,
A3,61,182,2021,ro,2,66.50,50.5,104.54,108.31,,,NA,
A3,70,182,2021,ro,2,15.52,45.3,20.42,21.84,,,NA,
A3,263,182,2021,bb,1,15.10,10.6,17.63,18.30,,,NA,
A3,709,182,2021,hem,1,5.82,10.0,24.71,29.40,,,NA,
A3,891,182,2021,hem,2,24.44,13.5,51.42,56.16,,,NA,
A3,984,182,2021,rm,1,15.98,10.5,27.79,30.64,,,NA,
B1,152,182,2021,rm,2,54.89,18.8,80.74,84.51,,,NA,
B1,153,182,2021,ro,3,64.85,55.0,115.20,121.47,,needs new line drawn,"still needs new, line drawn",
B1,154,182,2021,rm,2,31.42,29.0,38.83,42.83,,,NA,
B1,155,182,2021,ro,3,75.59,54.2,126.96,131.29,,"last obs before hole obscured,  +4.0mm. Probably substract .5 if using lines",rm next,
B1,155,182,2021,ro,4,NA,NA,12.88,17.17,,,DBH next,
B1,156,182,2021,rm,5,17.96,39.0,67.46,73.93,,,NA,
B1,159,182,2021,rm,2,12.72,30.7,29.02,31.95,,,NA,
B1,160,182,2021,rm,1,53.59,36.4,65.01,66.70,,,NA,
B1,161,182,2021,rm,2,23.26,19.9,26.33,26.35,,,NA,
