plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,267,2020,yb,4,14.51,19.4,18.38,18.75,,,NA
A1,2,267,2020,rm,1,91.17,36.6,114.07,114.04,,,NA
A1,2,267,2020,rm,2,NA,NA,9.64,9.81,,,first measurement
A1,6,267,2020,rm,3,64.49,35.1,78.99,78.96,,,NA
A1,8,267,2020,yb,3,26.95,27.0,34.54,34.62,,,NA
A1,9,267,2020,yb,2,32.69,18.0,44.04,44.31,,,NA
A1,10,267,2020,yb,2,29.84,16.7,40.67,40.79,,,NA
A1,14,267,2020,ro,3,69.21,62.7,108.86,108.28,,,NA
A1,15,267,2020,rm,1,33.45,23.0,35.54,35.58,,,NA
A1,18,267,2020,rm,2,31.42,29.0,38.38,38.73,,,duplicate of B1 154
A1,19,267,2020,ro,3,75.59,54.2,124.75,125.25,,,Duplicate of B1 155
A1,19,267,2020,ro,4,NA,NA,13.36,13.42,,,Duplicate of B1 155
A1,801,267,2020,hem,1,39.93,10.9,60.23,60.27,,,NA
A1,828,267,2020,yb,1,36.84,11.9,47.91,47.97,,,NA
A1,903,267,2020,hem,1,21.59,10.3,43.96,44.12,,,NA
A2,25,267,2020,rm,1,69.61,16.0,74.22,74.14,16.1,"removed, delete",remove next
A2,25,267,2020,rm,2,NA,NA,12.09,12.13,16.1,,DBH next
A2,26,267,2020,bo,2,65.64,43.8,88.61,88.62,,,NA
A2,27,267,2020,rm,4,10.20,13.0,18.11,18.26,,,NA
A2,29,267,2020,rm,1,54.72,16.9,58.46,58.39,,,NA
A2,30,267,2020,rm,2,84.48,25.0,97.50,97.42,,,NA
A2,31,267,2020,bo,2,49.52,43.3,73.87,74.18,,,NA
A2,32,267,2020,ro,2,54.14,45.7,80.83,80.82,,,NA
A2,33,267,2020,bo,2,22.95,33.9,27.12,27.28,,,NA
A2,34,267,2020,ro,2,21.78,43.4,38.82,38.69,,,NA
A2,35,267,2020,rm,1,26.92,22.2,29.20,29.10,,,NA
A2,892,267,2020,hem,2,18.12,12.8,29.87,30.14,,,NA
A2,893,267,2020,rm,1,20.29,10.6,27.72,27.71,,,NA
A2,911,267,2020,beech,1,32.69,10.1,50.34,50.38,,,NA
A2,990,267,2020,hem,1,29.17,10.3,52.05,52.17,,,NA
A3,51,267,2020,ro,2,48.06,25.5,71.26,71.48,,,NA
A3,52,267,2020,beech,3,23.63,16.2,51.25,51.33,,,NA
A3,53,267,2020,rm,2,18.55,12.0,19.18,19.22,,only one living branch,NA
A3,54,267,2020,ro,3,80.82,39.4,120.06,120.71,,rm next if matches,NA
A3,54,267,2020,ro,4,NA,NA,18.68,19.45,,DBH next,NA
A3,55,267,2020,rm,3,43.26,18.5,45.18,45.30,,,NA
A3,56,267,2020,rm,3,28.99,15.9,33.27,33.40,,,NA
A3,57,267,2020,ro,3,116.46,62.2,116.46,116.89,,"line drawn, rm next if matches",NA
A3,57,267,2020,ro,4,24.72,62.2,24.72,25.03,,DBH next,NA
A3,58,267,2020,ro,3,60.39,44.1,92.50,92.68,,,NA
A3,60,267,2020,rm,1,88.29,23.2,105.96,106.08,,,NA
A3,61,267,2020,ro,2,66.50,50.5,101.85,102.05,,,NA
A3,66,267,2020,rm,2,87.86,30.5,124.17,123.97,,,"needs new, line drawn"
A3,66,267,2020,rm,3,NA,NA,NA,10.57,,first measurement,NA
A3,70,267,2020,ro,2,15.52,45.3,19.30,19.41,,,NA
A3,263,267,2020,bb,1,15.10,10.6,17.32,17.83,,,NA
A3,709,267,2020,hem,1,5.82,10.0,23.21,23.50,,,NA
A3,891,267,2020,hem,2,24.44,13.5,50.61,50.77,,,NA
A3,984,267,2020,rm,1,15.98,10.5,27.21,27.56,,,NA
B1,152,267,2020,rm,2,54.89,18.8,79.62,79.69,,,NA
B1,153,267,2020,ro,3,64.85,55.0,112.41,113.15,,"still needs new, band not made",needs new
B1,154,267,2020,rm,2,31.42,29.0,38.38,38.73,,,duplicate A1 18
B1,155,267,2020,ro,3,75.59,54.2,124.75,125.25,,,Duplicate of A1 19
B1,155,267,2020,ro,4,NA,NA,13.36,13.42,,,first measurement
B1,156,267,2020,rm,5,17.96,39.0,65.54,66.35,,,NA
B1,157,267,2020,rm,1,32.99,19.8,34.49,33.83,,dead,NA
B1,159,267,2020,rm,2,12.72,30.7,28.36,28.58,,,NA
B1,160,267,2020,rm,1,53.59,36.4,64.77,64.80,,,NA
B1,161,267,2020,rm,2,23.26,19.9,25.43,25.48,,,NA
B1,162,267,2020,rm,2,17.74,34.0,31.50,31.65,,,NA
B1,164,267,2020,wp,2,12.10,20.5,19.07,19.28,,,NA
B1,165,267,2020,ro,2,33.21,45.5,47.94,48.01,,,NA
B1,802,267,2020,rm,1,14.93,10.1,16.62,16.63,,,NA
B1,815,267,2020,hem,1,10.77,11.8,32.33,32.42,,,NA
B1,816,267,2020,hem,1,14.60,10.9,32.90,32.97,,,NA
B1,895,267,2020,yb,1,30.96,11.0,44.56,44.61,,,NA
B1,915,267,2020,hem,1,NA,NA,NA,14.07,10.1,new recruit,NA
B2,179,267,2020,ro,3,66.97,68.9,111.26,110.97,,,NA
B2,182,267,2020,yb,2,14.17,32.8,18.13,18.28,,,NA
B2,187,267,2020,rm,2,59.66,32.9,78.21,78.42,,,NA
B2,189,267,2020,cherry,1,31.15,35.9,35.55,35.59,,,NA
B2,192,267,2020,bb,2,13.47,14.4,20.19,20.35,,,NA
B2,193,267,2020,yb,3,26.78,18.1,38.52,38.64,,,NA
B2,194,267,2020,rm,2,15.53,23.8,28.49,28.80,,,NA
B2,894,267,2020,rm,1,17.25,10.7,23.33,23.49,,,NA
B2,923,267,2020,hem,1,NA,NA,NA,11.90,10.2,new recruit,new recruit
B3,201,267,2020,ro,4,63.21,42.5,110.29,110.60,,,needs new
B3,201,267,2020,ro,5,NA,NA,NA,14.12,,first measurement,NA
B3,203,267,2020,ash,1,28.54,16.0,28.80,28.89,,,dying
B3,209,267,2020,ro,2,87.38,23.8,100.02,100.23,,,NA
B3,210,267,2020,ro,3,62.05,38.0,102.42,103.92,,,spring add = 102.61
B3,211,267,2020,rm,1,36.19,17.4,36.84,36.71,,,dying
B3,212,267,2020,rm,2,10.09,13.5,10.99,10.94,,,NA
B3,213,267,2020,rm,1,36.04,14.6,38.20,38.77,,,NA
B3,214,267,2020,yb,1,34.83,16.0,36.16,36.33,,,NA
B3,215,267,2020,rm,2,32.49,19.6,36.04,36.21,,,NA
B3,221,267,2020,rm,1,18.44,24.1,18.94,18.88,,,NA
B3,223,267,2020,ro,4,20.67,50.2,51.91,52.35,,,NA
B3,226,267,2020,ro,1,88.61,24.7,97.39,97.48,,,NA
B3,227,267,2020,rm,1,12.05,21.7,12.22,12.23,,"dying, leaves dried up, check in spring",NA
B3,228,267,2020,bo,5,24.46,55.3,40.97,41.45,,,NA
B3,231,267,2020,ro,1,78.06,23.8,88.90,89.07,,,NA
B3,232,267,2020,ro,2,72.39,39.0,102.41,102.94,,,NA
B3,814,267,2020,hem,1,13.92,10.2,29.52,30.71,,,NA
B4,253,267,2020,rm,2,17.18,13.4,25.38,25.53,,,NA
B4,255,267,2020,rm,2,20.49,21.8,30.93,30.86,,,NA
B4,256,267,2020,rm,2,43.07,15.5,44.88,45.02,,,NA
B4,257,267,2020,rm,1,36.59,13.2,38.03,38.11,,,NA
B4,260,267,2020,rm,1,15.33,11.4,16.71,16.70,,,NA
B4,261,267,2020,rm,1,40.71,16.5,46.56,46.61,,,NA
B4,262,267,2020,ro,3,74.92,28.7,114.92,114.96,,,NA
B4,264,267,2020,rm,3,19.22,12.7,33.96,34.11,,,NA
B4,271,267,2020,rm,1,49.36,11.7,54.20,54.26,,,NA
B4,272,267,2020,rm,2,38.92,25.7,74.11,75.14,,,NA
B4,273,267,2020,rm,2,58.31,15.5,68.13,68.42,,,NA
B4,276,267,2020,rm,1,47.59,12.5,57.29,57.40,,,NA
B4,277,267,2020,ro,3,33.51,28.0,55.68,56.09,,inside hole = 30.66,NA
B4,278,267,2020,rm,1,26.26,15.3,27.62,27.63,,,NA
B4,279,267,2020,rm,1,21.85,13.2,22.97,22.98,,,NA
B4,280,267,2020,ro,2,37.28,25.5,43.37,43.63,,,NA
B4,537,267,2020,rm,1,35.83,11.0,36.42,36.42,,,NA
B4,706,267,2020,rm,1,12.86,10.0,12.74,12.78,,,NA
B4,726,267,2020,ro,3,18.49,41.9,30.95,31.20,,,NA
B4,805,267,2020,beech,1,39.12,10.8,52.95,53.24,,,NA
B4,924,267,2020,beech,1,NA,NA,NA,13.09,10.0,new recruit,new recruit
C1,214,267,2020,bb,2,51.53,12.9,70.02,70.28,,,NA
C1,214,267,2020,bb,3,NA,NA,13.57,13.58,,,first measurement
C1,217,267,2020,hem,2,90.06,34.7,113.40,114.62,,,NA
C1,217,267,2020,hem,3,NA,NA,9.55,9.76,,,first measurement
C1,225,267,2020,beech,2,48.34,14.3,57.90,57.97,,,NA
C1,351,267,2020,hem,5,72.38,25.9,106.35,106.35,,,NA
C1,352,267,2020,ro,2,41.51,47.2,62.54,62.28,,,NA
C1,353,267,2020,ro,2,33.75,42.8,55.42,55.62,,,NA
C1,354,267,2020,rm,2,48.76,25.1,53.85,53.80,,,NA
C1,355,267,2020,yb,2,16.41,14.0,30.81,30.76,,,NA
C1,356,267,2020,ro,2,50.68,39.1,74.52,74.51,,,NA
C1,360,267,2020,yb,2,37.31,18.7,41.33,41.39,,,NA
C1,361,267,2020,ro,4,16.06,64.6,22.87,23.91,,,NA
C1,362,267,2020,ro,1,81.01,42.3,91.69,91.75,,,NA
C1,363,267,2020,ro,2,39.46,37.1,66.78,66.93,,,NA
C1,366,267,2020,ro,1,84.48,36.5,102.61,101.94,,,NA
C1,367,267,2020,ro,2,48.93,49.6,86.47,86.74,,,NA
C2,291,267,2020,rm,1,52.92,18.8,53.18,53.24,,,NA
C2,378,267,2020,ro,3,50.93,58.7,65.45,65.50,,,NA
C2,379,267,2020,rm,2,15.43,11.4,17.54,17.59,,,NA
C2,380,267,2020,rm,1,50.27,21.6,55.67,55.62,,,NA
