plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,108,2020,yb,4,14.51,19.4,15.42,15.03,,,"Caliper used: Mitutoyo IP67, battery replaced"
A1,2,108,2020,rm,1,91.17,36.6,109.42,111.85,,needs new,NA
A1,6,108,2020,rm,3,64.49,35.1,77.10,78.19,,,NA
A1,8,108,2020,yb,3,26.95,27.0,33.13,33.19,,,NA
A1,9,108,2020,yb,2,32.69,18.0,42.57,42.49,,,NA
A1,10,108,2020,yb,2,29.84,16.7,39.11,39.92,,,NA
A1,14,108,2020,ro,3,69.21,62.7,99.86,100.16,,,NA
A1,15,108,2020,rm,1,33.45,23.0,36.04,35.39,,,NA
A1,18,108,2020,rm,2,31.42,29.0,34.25,34.32,,,Duplicate of B1 154
A1,19,108,2020,ro,3,75.59,54.2,113.41,114.48,,,Duplicate of B1 155
A1,801,108,2020,hem,1,39.93,10.9,55.78,56.02,,,NA
A1,828,108,2020,yb,1,36.84,11.9,46.31,46.26,,,NA
A1,903,108,2020,hem,1,21.59,10.3,38.50,38.38,,,NA
A2,25,108,2020,rm,1,69.61,16.0,73.40,73.38,,needs new,NA
A2,26,108,2020,bo,2,65.64,43.8,83.81,83.70,,,NA
A2,27,108,2020,rm,4,10.20,13.0,16.41,16.65,,,NA
A2,29,108,2020,rm,1,54.72,16.9,57.83,58.16,,,NA
A2,30,108,2020,rm,2,84.48,25.0,95.04,95.41,,,NA
A2,31,108,2020,bo,2,49.52,43.3,69.02,69.28,,,NA
A2,32,108,2020,ro,2,54.14,45.7,75.15,75.48,,,NA
A2,33,108,2020,bo,2,22.95,33.9,24.59,24.97,,,NA
A2,34,108,2020,ro,2,21.78,43.4,35.39,35.54,,,NA
A2,35,108,2020,rm,1,26.92,22.2,29.31,29.18,,,NA
A2,92,108,2020,beech,2,55.74,14.1,59.03,58.14,,,"dead, but leave dend on until spring 2020 to be sure"
A2,892,108,2020,hem,2,18.12,12.8,21.44,21.82,,,NA
A2,893,108,2020,rm,1,20.29,10.6,26.46,27.07,,,NA
A2,911,108,2020,beech,1,32.69,10.1,46.94,47.00,,,NA
A2,990,108,2020,hem,1,29.17,10.3,41.36,46.49,,,NA
A3,51,108,2020,ro,2,48.06,25.5,66.08,66.18,,,NA
A3,52,108,2020,beech,3,23.63,16.2,45.25,45.64,,,NA
A3,53,108,2020,rm,2,18.55,12.0,19.25,19.20,,die back,NA
A3,54,108,2020,ro,3,80.82,39.4,111.48,112.02,,,NA
A3,55,108,2020,rm,3,43.26,18.5,43.64,44.14,,,NA
A3,56,108,2020,rm,3,28.99,15.9,30.48,30.87,,,NA
A3,57,108,2020,ro,3,110.14,62.1,110.14,110.18,,,rm 2020
A3,57,108,2020,ro,4,17.64,62.1,17.64,17.89,,,NA
A3,58,108,2020,ro,3,60.39,44.1,87.59,87.67,,,NA
A3,60,108,2020,rm,1,88.29,23.2,102.35,102.90,,,NA
A3,61,108,2020,ro,2,66.50,50.5,92.86,93.19,,,NA
A3,66,108,2020,rm,2,87.86,30.5,116.42,114.87,,band tightened,NA
A3,70,108,2020,ro,2,15.52,45.3,16.20,16.30,,,NA
A3,263,108,2020,bb,1,15.10,10.6,16.88,17.02,,,NA
A3,709,108,2020,hem,1,5.82,10.0,13.34,13.51,,,NA
A3,891,108,2020,hem,2,24.44,13.5,38.45,38.68,,,NA
A3,984,108,2020,rm,1,15.98,10.5,23.95,24.27,,,NA
B1,152,108,2020,rm,2,54.89,18.8,74.00,75.01,,,NA
B1,153,108,2020,ro,3,64.85,55.0,100.98,101.05,,,NA
B1,154,108,2020,rm,2,31.42,29.0,34.25,34.32,,,Duplicate of A1 18
B1,155,108,2020,ro,3,75.59,54.2,113.41,114.48,,needs new,Duplicate of A1 19
B1,156,108,2020,rm,5,17.96,39.0,53.24,54.37,,,NA
B1,157,108,2020,rm,1,32.99,19.8,34.83,34.61,,,NA
B1,159,108,2020,rm,2,12.72,30.7,23.55,24.27,,,NA
B1,160,108,2020,rm,1,53.59,36.4,62.46,63.77,,,NA
B1,161,108,2020,rm,2,23.26,19.9,24.29,25.15,,,NA
B1,162,108,2020,rm,2,17.74,34.0,28.28,28.86,,,NA
B1,164,108,2020,wp,2,12.10,20.5,17.48,17.93,,,NA
B1,165,108,2020,ro,2,33.21,45.5,43.90,43.73,,,NA
B1,802,108,2020,rm,1,14.93,10.1,16.17,16.54,,,NA
B1,815,108,2020,hem,1,10.77,11.8,23.85,23.82,,,NA
B1,816,108,2020,hem,1,14.60,10.9,26.49,26.54,,,NA
B1,895,108,2020,yb,1,30.96,11.0,42.18,42.42,,,NA
B2,179,108,2020,ro,3,66.97,68.9,100.88,100.88,,,NA
B2,182,108,2020,yb,2,14.17,32.8,16.46,16.59,,,NA
B2,187,108,2020,rm,2,59.66,32.9,75.23,75.19,,,NA
B2,189,108,2020,cherry,1,31.15,35.9,35.08,35.39,,,NA
B2,192,108,2020,bb,2,13.47,14.4,17.34,17.72,,,NA
B2,193,108,2020,yb,3,26.78,18.1,36.82,36.84,,,NA
B2,194,108,2020,rm,2,15.53,23.8,24.57,24.70,,,NA
B2,894,108,2020,rm,1,17.25,10.7,22.36,22.61,,,NA
B3,201,108,2020,ro,4,63.21,42.5,100.52,100.15,,,NA
B3,203,108,2020,ash,1,28.54,16.0,29.86,28.88,,,NA
B3,208,108,2020,rm,1,23.31,20.0,24.43,25.06,,,NA
B3,209,108,2020,ro,2,87.38,23.8,97.17,97.51,,,NA
B3,210,108,2020,ro,3,62.05,38.0,93.51,93.23,,,NA
B3,211,108,2020,rm,1,36.19,17.4,36.40,36.86,,dying,NA
B3,212,108,2020,rm,2,10.09,13.5,10.52,10.77,,,NA
B3,213,108,2020,rm,1,36.04,14.6,38.13,38.27,,,NA
B3,214,108,2020,yb,1,34.83,16.0,35.65,36.19,,,NA
B3,215,108,2020,rm,2,32.49,19.6,34.37,34.79,,,NA
B3,221,108,2020,rm,1,18.44,24.1,19.15,18.71,,,NA
B3,223,108,2020,ro,4,20.67,50.2,43.70,43.82,,,NA
B3,226,108,2020,ro,1,88.61,24.7,95.30,95.65,,,NA
B3,227,108,2020,rm,1,12.05,21.7,12.32,12.28,,,NA
B3,228,108,2020,bo,5,24.46,55.3,25.77,25.95,,,NA
B3,231,108,2020,ro,1,78.06,23.8,86.91,87.58,,,NA
B3,232,108,2020,ro,2,72.39,39.0,95.67,95.21,,,NA
B3,814,108,2020,hem,1,13.92,10.2,20.27,20.34,,,NA
B4,253,108,2020,rm,2,17.18,13.4,24.14,24.30,,,NA
B4,255,108,2020,rm,2,20.49,21.8,28.62,28.75,,,NA
B4,256,108,2020,rm,2,43.07,15.5,44.47,44.76,,,NA
B4,257,108,2020,rm,1,36.59,13.2,37.78,38.06,,,NA
B4,260,108,2020,rm,1,15.33,11.4,16.42,16.73,,,NA
B4,261,108,2020,rm,1,40.71,16.5,45.58,46.04,,,NA
B4,262,108,2020,ro,3,74.92,28.7,106.60,106.83,,,NA
B4,263,108,2020,gb,1,42.90,17.4,42.87,43.59,,,NA
B4,264,108,2020,rm,3,19.22,12.7,30.94,31.10,,,NA
B4,271,108,2020,rm,1,49.36,11.7,53.29,53.98,,,NA
B4,272,108,2020,rm,2,38.92,25.7,66.46,67.18,,,NA
B4,273,108,2020,rm,2,58.31,15.5,65.77,65.94,,,NA
B4,276,108,2020,rm,1,47.59,12.5,55.49,55.82,,,NA
B4,277,108,2020,ro,3,33.51,28.0,50.99,51.28,,,NA
B4,278,108,2020,rm,1,26.26,15.3,27.61,27.73,,,NA
B4,279,108,2020,rm,1,21.85,13.2,22.69,22.99,,,NA
B4,280,108,2020,ro,2,37.28,25.5,40.53,40.57,,,NA
B4,537,108,2020,rm,1,35.83,11.0,36.32,36.51,,,NA
B4,706,108,2020,rm,1,12.86,10.0,12.46,12.72,,,NA
B4,726,108,2020,ro,3,18.49,41.9,18.49,18.93,,,NA
B4,805,108,2020,beech,1,39.12,10.8,48.05,48.28,,,NA
C1,214,108,2020,bb,2,51.53,12.9,64.16,64.24,,,NA
C1,217,108,2020,hem,2,90.06,34.7,108.08,106.72,,"was loose = 116.32, tightened = 106.72",NA
C1,225,108,2020,beech,2,48.34,14.3,56.93,57.06,,,NA
C1,351,108,2020,hem,5,72.38,25.9,95.92,96.50,,,NA
C1,352,108,2020,ro,2,41.51,47.2,57.28,57.93,,,NA
C1,353,108,2020,ro,2,33.75,42.8,50.37,50.34,,,NA
C1,354,108,2020,rm,2,48.76,25.1,53.18,53.70,,,NA
C1,355,108,2020,yb,2,16.41,14.0,27.18,27.89,,,NA
C1,356,108,2020,ro,2,50.68,39.1,69.17,69.17,,,NA
C1,360,108,2020,yb,2,37.31,18.7,39.22,39.05,,,NA
C1,361,108,2020,ro,3,80.65,63.6,115.94,116.33,,rm if matches,NA
C1,361,108,2020,ro,4,NA,NA,10.91,10.76,,DBH next,"Installed 2019-08-29, DBH 2020"
C1,362,108,2020,ro,1,81.01,42.3,90.34,90.28,,,NA
C1,363,108,2020,ro,2,39.46,37.1,61.13,60.98,,,NA
C1,366,108,2020,ro,1,84.48,36.5,98.32,98.45,,,NA
C1,367,108,2020,ro,2,48.93,49.6,77.43,76.55,,,NA
C2,291,108,2020,rm,1,52.92,18.8,53.17,53.14,,,NA
C2,378,108,2020,ro,3,50.93,58.7,56.61,57.94,,,NA
C2,379,108,2020,rm,2,15.43,11.4,17.18,17.48,,,NA
C2,380,108,2020,rm,1,50.27,21.6,54.44,55.93,,,NA
C2,381,108,2020,rm,1,12.32,16.7,10.93,10.39,,,NA
C2,382,108,2020,rm,1,38.72,20.6,46.76,44.27,,,NA
C2,385,108,2020,rm,1,32.60,15.9,35.41,36.20,,,NA
C2,386,108,2020,ro,3,42.63,42.0,61.68,61.51,,,NA
C2,388,108,2020,beech,3,48.32,17.1,60.83,61.00,,,NA
C2,390,108,2020,ro,2,87.97,53.8,114.77,116.22,,"was loose = 117.32, tightened = 116.22",NA
C2,391,108,2020,ro,2,59.88,49.0,78.85,78.64,,,NA
C2,392,108,2020,ro,3,34.60,60.4,39.42,39.80,,,NA
C2,829,108,2020,yb,1,35.58,11.9,51.22,51.24,,,NA
C2,830,108,2020,hem,2,24.26,13.7,57.01,57.27,,,NA
C2,979,108,2020,rm,1,8.25,9.9,9.15,9.49,,,NA
C3,207,108,2020,hem,2,45.01,13.8,73.85,74.36,,rm next,line drawn
C3,207,108,2020,hem,3,NA,NA,18.36,17.67,,DBH next,DBH 2020
C3,264,108,2020,hem,2,54.31,14.9,71.35,71.39,,rm next,line drawn
C3,264,108,2020,hem,3,NA,NA,10.99,11.06,,DBH next,DBH 2020
C3,402,108,2020,rm,2,23.05,32.8,39.98,41.26,,,NA
C3,403,108,2020,rm,1,69.29,27.9,76.31,76.64,,,NA
C3,405,108,2020,yb,2,32.05,21.0,45.76,45.79,,,NA
C3,406,108,2020,ash,2,20.77,18.9,30.27,33.66,,,NA
C3,411,108,2020,rm,2,30.02,28.1,46.68,47.69,,,NA
C3,412,108,2020,rm,3,12.63,21.9,14.91,16.26,,,NA
C3,413,108,2020,rm,1,76.86,24.3,85.68,86.20,,,NA
C3,414,108,2020,yb,2,32.96,15.6,41.73,42.40,,,NA
C3,415,108,2020,rm,2,37.95,28.2,53.39,57.01,,previous correct?,NA
C3,416,108,2020,rm,3,38.77,32.9,57.22,57.27,,,NA
C3,417,108,2020,rm,1,19.87,17.9,22.06,22.53,,,NA
C3,418,108,2020,ash,2,38.17,29.8,48.39,48.02,,,NA
C3,419,108,2020,yb,1,43.75,14.9,47.89,47.92,,,NA
C3,421,108,2020,ash,3,38.42,42.8,55.05,55.49,, ,NA
C3,423,108,2020,rm,1,34.82,24.7,37.82,38.88,,,NA
C3,425,108,2020,ash,2,22.46,21.8,32.33,33.81,,,NA
C3,426,108,2020,ash,1,29.05,20.5,35.15,34.92,,,NA
C3,729,108,2020,yb,2,62.83,21.0,85.35,85.47,,,NA
C4,456,108,2020,rm,1,45.52,18.4,48.02,48.80,,,NA
C4,459,108,2020,ro,2,54.86,41.8,76.22,75.96,,,NA
C4,462,108,2020,bo,4,58.63,44.2,88.95,88.79,,,NA
C4,465,108,2020,rm,1,65.00,17.3,76.29,78.37,,,NA
C4,466,108,2020,ro,1,72.57,27.5,80.00,79.99,,,NA
C4,469,108,2020,ro,2,36.21,41.0,53.15,53.11,,,NA
C4,474,108,2020,ro,3,76.80,48.9,117.19,117.25,,~13mm left,NA
C4,484,108,2020,beech,2,31.57,13.3,47.61,47.62,,,NA
C4,485,108,2020,beech,2,45.05,30.4,58.82,58.91,,,NA
C4,487,108,2020,rm,1,53.69,23.8,58.37,58.48,,,NA
C4,489,108,2020,rm,3,10.76,33.4,10.07,9.94,,,NA
C4,491,108,2020,rm,2,28.88,30.5,33.98,34.17,,,NA
C4,494,108,2020,rm,2,64.56,28.7,75.47,76.29,,,NA
C4,498,108,2020,rm,1,26.46,20.1,27.28,28.15,,,NA
C4,570,108,2020,beech,2,11.60,11.5,19.50,19.67,,,NA
C5,260,108,2020,beech,3,25.38,13.4,58.44,59.86,,"needs new, on bumps in bark",spring added = 59.2
C5,290,108,2020,beech,3,80.48,15.6,49.62,49.44,,,NA
C5,501,108,2020,bo,3,52.94,37.8,86.69,86.74,,,NA
C5,502,108,2020,rm,1,9.24,12.5,9.67,9.65,,,NA
C5,503,108,2020,gb,1,78.91,18.2,83.89,83.60,,,NA
C5,503,108,2020,gb,2,NA,NA,15.77,15.57,,DBH mid-year,DBH 2020
C5,504,108,2020,ro,2,36.50,17.3,40.50,40.89,,,NA
C5,505,108,2020,rm,2,78.35,23.2,93.63,93.94,,,NA
C5,508,108,2020,rm,1,55.83,19.0,56.65,56.77,,,NA
C5,509,108,2020,rm,2,17.09,16.8,25.00,25.24,,,NA
C5,512,108,2020,rm,2,61.47,15.7,65.23,64.98,,,NA
C5,513,108,2020,ro,3,54.25,30.0,71.85,71.90,,,NA
C5,514,108,2020,rm,3,9.58,15.9,13.45,13.90,,,NA
C5,515,108,2020,ro,2,62.90,25.7,89.68,90.31,,,"spring failed, reattached with 2 springs, consider changing to dend.num 3"
C5,518,108,2020,yb,2,30.31,12.6,37.25,37.70,,,NA
C5,519,108,2020,ro,3,60.97,38.4,81.22,81.15,,,NA
C5,724,108,2020,beech,3,40.36,15.5,79.36,80.55,,,"spring added = 79.58, needs new 6mm left"
C5,733,108,2020,rm,2,54.33,14.0,67.20,67.13,,,NA
C5,831,108,2020,beech,2,36.71,12.7,60.21,60.55,,,NA
C5,888,108,2020,rm,1,6.42,10.3,7.18,7.31,,,NA
C5,889,108,2020,rm,1,10.32,10.0,10.45,10.35,,"bark peeling, maybe dying",NA
D1,266,108,2020,wp,4,37.86,47.1,51.38,50.72,,,NA
D1,524,108,2020,rm,1,10.47,10.3,11.94,12.30,,,NA
D1,526,108,2020,rm,1,61.89,20.5,73.31,73.71,,,NA
D1,527,108,2020,rm,2,57.87,13.9,63.68,65.41,,,NA
D1,529,108,2020,rm,2,15.82,25.5,29.11,29.13,,,NA
D1,530,108,2020,bo,2,27.20,29.9,36.40,36.50,,,NA
D1,531,108,2020,bo,2,57.28,35.3,75.99,75.87,,,NA
D1,532,108,2020,ro,4,62.19,43.2,93.02,93.11,,,NA
D1,537,108,2020,rm,2,31.34,14.7,47.30,47.51,,,NA
