plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,287,2021,yb,4,14.51,19.4,22.61,22.77,,,NA
A1,2,287,2021,rm,2,10.43,35.3,16.00,16.22,,,NA
A1,6,287,2021,rm,3,64.49,35.1,82.33,82.35,,,NA
A1,8,287,2021,yb,3,26.95,27.0,36.35,36.52,,,NA
A1,9,287,2021,yb,2,32.69,18.0,46.10,46.28,,,NA
A1,10,287,2021,yb,2,29.84,16.7,42.50,42.59,,,NA
A1,14,287,2021,ro,3,69.21,62.7,115.28,115.42,,,"needs new ASAP, line drawn"
A1,14,287,2021,ro,4,NA,NA,NA,10.88,,,NA
A1,15,287,2021,rm,1,33.45,23.0,35.62,35.67,,,NA
A1,18,287,2021,rm,2,31.42,29.0,44.01,44.16,,duplicate B1-154,NA
A1,19,287,2021,ro,4,NA,NA,19.07,19.31,,dupliacte B1-155,NA
A1,801,287,2021,hem,1,39.93,10.9,62.59,62.73,,,NA
A1,828,287,2021,yb,1,36.84,11.9,50.00,50.04,,,NA
A1,903,287,2021,hem,1,21.59,10.3,47.32,47.38,,,NA
A2,25,287,2021,rm,2,12.13,16.1,13.13,13.21,,,NA
A2,26,287,2021,bo,2,65.64,43.8,93.90,93.98,,,NA
A2,27,287,2021,rm,4,10.20,13.0,20.44,20.50,,,NA
A2,29,287,2021,rm,1,54.72,16.9,58.85,58.74,,,NA
A2,30,287,2021,rm,2,84.48,25.0,100.18,100.33,,,NA
A2,31,287,2021,bo,2,49.52,43.3,79.38,79.57,,,NA
A2,32,287,2021,ro,2,54.14,45.7,86.72,86.76,,,NA
A2,33,287,2021,bo,2,22.95,33.9,30.60,30.87,,,NA
A2,34,287,2021,ro,2,21.78,43.4,41.76,41.82,,,NA
A2,35,287,2021,rm,1,26.92,22.2,29.20,29.32,,,NA
A2,892,287,2021,hem,2,18.12,12.8,35.99,35.98,,,NA
A2,893,287,2021,rm,1,20.29,10.6,29.45,29.52,,,NA
A2,911,287,2021,beech,1,32.69,10.1,53.34,53.56,,,NA
A2,990,287,2021,hem,1,29.17,10.3,56.11,56.10,,,NA
A3,51,287,2021,ro,2,48.06,25.5,76.56,76.66,,,NA
