plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,hole,status,Need New Band?,notes,ref.notes
A1,1,102,2023,yb,4,14.51,19.4,19.37,260.04,,Inner,Alive,No,,NA
A1,2,102,2023,rm,2,10.43,35.3,17.02,28.06,,Inner,Alive,No,,NA
A1,6,102,2023,rm,3,64.49,35.1,86.32,87.54,,Outer,Alive,No,"hole nearer spring: 60.77, 61.38",NA
A1,6,102,2023,rm,3,,,60.77,61.38,,Inner,Alive,No,,
A1,8,102,2023,yb,3,26.95,27.0,38.96,39.42,,Inner,Alive,No,,NA
A1,9,102,2023,yb,2,32.69,18.0,48.03,48.54,,Inner,Alive,No,,NA
A1,10,102,2023,yb,2,29.84,16.7,44.05,44.51,,Inner,Alive,No,,NA
A1,14,102,2023,ro,3,115.36,64.00,NA,,,No Measurement,Alive,No,,"too big, hole covered"
A1,14,102,2023,ro,4,11.28,64.00,20.09,26.22,,Inner,Alive,No,,
A1,15,102,2023,rm,1,33.45,23.0,36.73,36.83,,Inner,Alive,No,,
A1,18,102,2023,rm,2,31.42,29.0,,,,No Measurement,Dead,No,missing and branches scattered - snapped during winter?,
A1,19,102,2023,ro,4,NA,NA,31.77,35.75,,Inner,Alive,No,,
A1,801,102,2023,hem,1,39.93,10.9,64.47,65.83,,Inner,Alive,No,,needs new band 12.1 cm DBH
A1,801,102,2023,hem,2,,,8.41,8.44,12.1,Inner,Alive,No,new band added,
A1,828,102,2023,yb,1,36.84,11.9,51.27,51.18,,Inner,Alive,No,,
A1,903,102,2023,hem,1,21.59,10.3,49.71,53.03,,Inner,Alive,No,,
A2,25,102,2023,rm,2,12.13,16.1,15.53,15.5,,Inner,Alive,No,,
A2,26,102,2023,bo,2,65.64,43.8,100.31,104.59,45.5,Inner,Alive,Yes,new band needed,
A2,27,102,2023,rm,4,10.20,13.0,22.16,22.58,,Inner,Alive,No,,
A2,29,102,2023,rm,1,54.72,16.9,59.07,59.1,,Inner,Alive,No,,
A2,30,102,2023,rm,2,84.48,25.0,102.53,103.26,,Inner,Alive,Yes,,needs new band 25.7 cm DBH
A2,30,110,2023,rm,3,,,24.27,22.38,25.7,Inner,Alive,No,new band added,
A2,31,102,2023,bo,2,49.52,43.3,85.75,90.04,,Inner,Alive,No,,
A2,32,102,2023,ro,2,54.14,45.7,95.07,99.71,47.4,Inner,Alive,Yes,need new band,
A2,33,102,2023,bo,2,22.95,33.9,34.31,35.8,,Inner,Alive,No,,
A2,34,102,2023,ro,2,21.78,43.4,45.68,45.99,,Inner,Alive,No,,
A2,35,102,2023,rm,1,26.92,22.2,30.08,29.92,,Inner,Stressed,No,lost top,
A2,892,102,2023,hem,2,18.12,12.8,39.93,41.18,,Inner,Alive,No,,
A2,893,102,2023,rm,1,20.29,10.6,31.28,31.86,,Inner,Alive,No,,
A2,911,102,2023,beech,1,32.69,10.1,55.97,59.02,,Inner,Alive,No,,
A2,990,102,2023,hem,1,29.17,10.3,58.36,59.25,,Inner,Alive,No,,
A3,51,102,2023,ro,2,48.06,25.5,83.74,87.66,,Inner,Alive,No,,
A3,52,102,2023,beech,3,23.63,16.2,59.86,60.96,,Outer,Alive,No,inner hole 27.09,
A3,53,102,2023,rm,2,18.55,12.0,18.39,NA,,No Measurement,Dead,No,dead & rotting,
A3,54,102,2023,ro,4,20.95,40.3,39.2,44.93,,Inner,Alive,No,,
A3,55,102,2023,rm,3,43.26,18.5,47.03,47.74,,Inner,Alive,No,,
A3,56,102,2023,rm,3,28.99,15.9,40.74,42.71,,Inner,Alive,No,,
A3,57,102,2023,ro,4,27.14,62.2,46.84,50.33,,Inner,Alive,No,,
A3,58,102,2023,ro,3,60.39,44.1,109.68,114.44,,Inner,Alive,No,,needs new band 46.0 cm DBH
A3,58,110,2023,ro,4,,,20.44,22.86,46,Inner,Alive,No,new band added,
A3,60,102,2023,rm,1,88.29,23.2,113.53,117.69,,Inner,Alive,No,,needs new band 25.2 cm DBH
A3,60,110,2023,rm,2,,,24.19,25.11,25.2,Inner,Alive,No,new band added,
A3,61,102,2023,ro,2,66.50,50.5,121.49,123.72,,Inner,Alive,No,,needs new band 52.5 cm DBH
A3,61,110,2023,ro,3,,,27.99,29.59,52.5,Inner,Alive,No,new band added,
A3,70,102,2023,ro,2,15.52,45.3,26.05,28.86,,Inner,Alive,No,,
A3,263,102,2023,bb,1,15.10,10.6,19.61,19.71,,Inner,Alive,No,,
A3,709,102,2023,hem,1,5.82,10.0,37.66,45.06,,Inner,Alive,No,,
A3,891,102,2023,hem,2,24.44,13.5,65.47,74.07,,Inner,Alive,No,,
A3,984,102,2023,rm,1,15.98,10.5,45.3,48.4,,Inner,Stressed,No,snapped,
B1,152,102,2023,rm,2,54.89,18.8,91.4,92.32,20,Inner,Alive,Yes,need ew band 20.0DBH,
B1,153,102,2023,ro,3,124.58,56.50,,,,No Measurement,Alive,No,too big - new band below,too big to measure
B1,153,102,2023,ro,4,9.83,56.50,21.6,28.33,,Inner,Alive,No,,
B1,154,102,2023,rm,2,31.42,29.0,49.05,50.45,,Inner,Alive,No,,
B1,155,102,2023,ro,4,19.07,55.4,31.99,,,Inner,Alive,No,also A1 19,
B1,156,102,2023,rm,5,17.96,39.0,,,,No Measurement,Alive,No,too big; inner hole: 16.68,needs new band 42.8 cm DBH
B1,156,102,2023,rm,5,17.96,39.0,NA,16.68,,Inner,Alive,No,,
B1,156,110,2023,rm,6,,,21.59,20.67,42.8,Inner,Alive,No,new band added,
B1,159,102,2023,rm,2,12.72,30.7,38.48,40.8,,Inner,Alive,No,,
B1,160,102,2023,rm,1,53.59,36.4,70.57,71.49,,Inner,Alive,No,,
B1,161,102,2023,rm,2,23.26,19.9,27.23,27.61,,Inner,Alive,No,,
B1,162,102,2023,rm,2,17.74,34.0,39.73,40.51,,Inner,Alive,No,,
B1,164,102,2023,wp,2,12.10,20.5,24.63,24.81,,Inner,Alive,No,,
