plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,hole,status,Need New Band?,notes,ref.notes
A1,1,228,2023,yb,4,14.51,19.4,26.04,26.36,,Inner,Alive,No,,
A1,2,228,2023,rm,2,10.43,35.3,28.06,32.20,,Inner,Alive,No,,
A1,6,228,2023,rm,3,64.49,35.1,87.54,89.07,,Outer,Alive,No,,"hole nearer spring: 60.77, 61.38"
A1,6,228,2023,rm,3,,,61.38,63.27,,Inner,Alive,No,,
A1,8,228,2023,yb,3,26.95,27.0,39.42,39.70,,Inner,Alive,No,,
A1,9,228,2023,yb,2,32.69,18.0,48.54,49.49,,Inner,Alive,No,,
A1,10,228,2023,yb,2,29.84,16.7,44.51,45.16,,Inner,Alive,No,,
A1,14,228,2023,ro,3,115.36,64.00,,na,,No Measurement,Alive,No,,
A1,14,228,2023,ro,4,11.28,64.00,26.22,29.14,,Inner,Alive,No,,
A1,15,228,2023,rm,1,33.45,23.0,36.83,36.81,,Inner,Alive,No,,
A1,18,228,2023,rm,2,31.42,29.0,,na,,No Measurement,Dead,No,,missing and branches scattered - snapped during winter?
A1,19,228,2023,ro,4,NA,NA,35.75,40.9,,Inner,Alive,No,,
A1,801,228,2023,hem,1,39.93,10.9,65.83,66.19,,Inner,Alive,No,,
A1,801,228,2023,hem,2,,,8.44,8.37,12.1,Inner,Alive,No,,new band added
A1,828,228,2023,yb,1,36.84,11.9,51.18,51.25,,Inner,Alive,No,,
A1,903,228,2023,hem,1,21.59,10.3,53.03,54.36,,Inner,Alive,No,,
A2,25,228,2023,rm,2,12.13,16.1,15.5,15.51,,Inner,Alive,No,,
A2,26,228,2023,bo,2,65.64,43.8,104.59,106.46,45.5,Inner,Alive,No,new band 17.20,new band needed
A2,27,228,2023,rm,4,10.20,13.0,22.58,23.54,,Inner,Alive,No,,
A2,29,228,2023,rm,1,54.72,16.9,59.1,59.09,,Inner,Alive,No,,
A2,30,228,2023,rm,2,84.48,25.0,103.26,105.65,,Inner,Alive,Yes,,
A2,30,228,2023,rm,3,,,22.38,22.49,25.7,Inner,Alive,No,,new band added
A2,31,228,2023,bo,2,49.52,43.3,90.04,92.65,,Inner,Alive,No,,
A2,32,228,2023,ro,2,54.14,45.7,99.71,103.22,47.4,Inner,Alive,No,new band 11.38,need new band
A2,33,228,2023,bo,2,22.95,33.9,35.8,37.2,,Inner,Alive,No,,
A2,34,228,2023,ro,2,21.78,43.4,45.99,48.84,,Inner,Alive,No,,
A2,35,228,2023,rm,1,26.92,22.2,29.92,29.94,,Inner,Stressed,No,,lost top
A2,892,228,2023,hem,2,18.12,12.8,41.18,42.17,,Outer,Alive,No,Inner 26.16,
A2,893,228,2023,rm,1,20.29,10.6,31.86,32.22,,Inner,Alive,No,,
A2,911,228,2023,beech,1,32.69,10.1,59.02,60.85,,Inner,Alive,No,,
A2,990,228,2023,hem,1,29.17,10.3,59.25,59.75,,Inner,Alive,No,,
A3,51,228,2023,ro,2,48.06,25.5,87.66,89.98,,Inner,Alive,Yes,,
A3,52,228,2023,beech,3,23.63,16.2,60.96,63.09,,Outer,Alive,No,inner 29.09,inner hole 27.09
A3,53,228,2023,rm,2,18.55,12.0,NA,na,,No Measurement,Dead,No,,dead & rotting
A3,54,228,2023,ro,4,20.95,40.3,44.93,50.2,,Inner,Alive,No,,
A3,55,228,2023,rm,3,43.26,18.5,47.74,48.98,,Inner,Alive,No,,
A3,56,228,2023,rm,3,28.99,15.9,42.71,45.05,,Inner,Alive,No,,
A3,57,228,2023,ro,4,27.14,62.2,50.33,55.18,,Inner,Alive,No,,
A3,58,228,2023,ro,3,60.39,44.1,114.44,118.52,,Inner,Alive,No,,
A3,58,228,2023,ro,4,,,22.86,26.65,46,Inner,Alive,No,,new band added
A3,60,228,2023,rm,1,88.29,23.2,117.69,119.25,,Inner,Alive,No,,
A3,60,228,2023,rm,2,,,25.11,25.99,25.2,Inner,Alive,No,,new band added
A3,61,228,2023,ro,2,66.50,50.5,123.72,Na taken off,,Inner,Alive,No,,
A3,61,228,2023,ro,3,,,29.59,32.39,52.5,Inner,Alive,No,,new band added
A3,70,228,2023,ro,2,15.52,45.3,28.86,29.91,,Outer,Alive,No,22.7 inner,
A3,263,228,2023,bb,1,15.10,10.6,19.71,20,,Inner,Alive,No,,
A3,709,228,2023,hem,1,5.82,10.0,45.06,48.43,,Inner,Alive,No,,
A3,891,228,2023,hem,2,24.44,13.5,74.07,78.86,,Inner,Alive,Yes,,
A3,984,228,2023,rm,1,15.98,10.5,48.4,53.1,,Inner,Stressed,No,Snapped,snapped
B1,152,228,2023,rm,2,54.89,18.8,92.32,94.07,20,Inner,Alive,Yes,11.87 new,need ew band 20.0DBH
B1,153,228,2023,ro,3,124.58,56.50,,Na,,No Measurement,Alive,No,,too big - new band below
B1,153,228,2023,ro,4,9.83,56.50,28.33,32.67,,Inner,Alive,No,,
B1,154,228,2023,rm,2,31.42,29.0,50.45,54.32,,Inner,Alive,No,,
B1,155,228,2023,ro,4,19.07,55.4,,40.9,,Inner,Alive,No,,also A1 19
B1,156,228,2023,rm,5,17.96,39.0,,,,No Measurement,Alive,No,,too big; inner hole: 16.68
B1,156,228,2023,rm,5,17.96,39.0,16.68,26.34,,Inner,Alive,No,,
B1,156,228,2023,rm,6,,,20.67,26.64,42.8,Inner,Alive,No,,new band added
B1,159,228,2023,rm,2,12.72,30.7,40.8,43.17,,Inner,Alive,No,,
B1,160,228,2023,rm,1,53.59,36.4,71.49,74.2,,Inner,Alive,No,,
B1,161,228,2023,rm,2,23.26,19.9,27.61,28.03,,Outer,Alive,No,,
B1,162,228,2023,rm,2,17.74,34.0,40.51,43.08,,Inner,Alive,No,,
B1,164,228,2023,wp,2,12.10,20.5,24.81,25.97,,Inner,Alive,No,,
B1,165,228,2023,ro,2,33.21,45.5,59.78,61.1,,Inner,Alive,No,,
B1,802,228,2023,rm,1,14.93,10.1,17.58,17.28,,Inner,Alive,No,,
B1,815,228,2023,hem,1,10.77,11.8,47.34,49.59,,Inner,Alive,No,,
B1,816,228,2023,hem,1,14.60,10.9,41.6,42.16,,Inner,Alive,No,,
B1,895,228,2023,yb,1,30.96,11.0,51.43,52.02,,Outer,Alive,No,,"inner hole: 39.95, 41.01"
B1,895,228,2023,yb,1,,,41.01,41.74,,Inner,Alive,No,,
B1,915,228,2023,hem,1,14.07,10.1,27.79,29.54,,Inner,Alive,No,,
B2,179,228,2023,ro,3,66.97,68.9,,Na,,Inner,Alive,No,removed,
B2,179,228,2023,ro,4,,,16.37,20.11,70.5,Inner,Alive,No,,new band added
B2,182,228,2023,yb,2,14.17,32.8,23.4,24.53,,Inner,Alive,No,,
B2,187,228,2023,rm,2,59.66,32.9,87.26,89.58,,Inner,Alive,No,needs new tag,missing tag
B2,189,228,2023,cherry,1,31.15,35.9,37.25,37.93,,Inner,Alive,No,,
B2,192,228,2023,bb,2,13.47,14.4,29.61,31.46,,Inner,Alive,No,,
B2,193,228,2023,yb,3,26.78,18.1,43.19,43.1,,Inner,Alive,No,,
B2,194,228,2023,rm,2,15.53,23.8,44.57,48.62,,Inner,Alive,No,22.54 inner,
B2,894,228,2023,rm,1,17.25,10.7,24.5,24.81,,Outer,Alive,No,14.01 inner,
B2,923,228,2023,hem,1,11.90,10.2,29.7,34.3,,Inner,Alive,No,,
B3,201,228,2023,ro,5,15.04,43.8,43.37,50.37,,Inner,Alive,No,,
B3,203,228,2023,ash,1,28.54,16.0,,na,,No Measurement,Dead,No,,dead
B3,209,228,2023,ro,2,87.38,23.8,107.01,107.66,,Inner,Alive,No,removed,
B3,209,228,2023,ro,3,,,21.89,21.97,24.5,Inner,Alive,No,,new band added
B3,210,228,2023,ro,3,62.05,38.0,NA,na removed,,No Measurement,Alive,No,,too big
B3,210,228,2023,ro,4,,,16.86,22.65,40.6,Inner,Alive,No,,new band added
B3,212,228,2023,rm,2,10.09,13.5,12.21,12.27,,Inner,Alive,No,,
B3,213,228,2023,rm,1,36.04,14.6,40.24,40.41,,Inner,Alive,No,,
B3,214,228,2023,yb,1,34.83,16.0,38.01,37.84,,Inner,Stressed,No,,Top broken off
B3,215,228,2023,rm,2,32.49,19.6,42.31,44,,Inner,Alive,No,,
B3,221,228,2023,rm,1,18.44,24.1,18.41,18.8,,Inner,Alive,No,,
B3,223,228,2023,ro,4,20.67,50.2,82.95,87.48,,Inner,Alive,No,,
B3,226,228,2023,ro,1,88.61,24.7,103.07,103.58,,Inner,Alive,No,,
B3,226,228,2023,ro,2,,,19.88,20.04,25.5,Inner,Alive,No,,new band added
B3,228,228,2023,bo,5,24.46,55.3,83.36,90.34,,Inner,Alive,No,,
B3,231,228,2023,ro,1,78.06,23.8,94.86,95.67,,Inner,Alive,Yes,,
B3,232,228,2023,ro,2,72.39,39.0,122.91,126.91,,Inner,Alive,No,Removed,
B3,232,228,2023,ro,3,,,17.62,21.43,40.5,Inner,Alive,No,,new band added
B3,814,228,2023,hem,1,13.92,10.2,46.26,Na,,Inner,Dead,No,,dead - tip up
B4,253,228,2023,rm,2,17.18,13.4,30.19,31.91,,Inner,Alive,No,,
B4,255,228,2023,rm,2,20.49,21.8,38.59,41.48,,Inner,Alive,No,,
B4,256,228,2023,rm,2,43.07,15.5,45.3,45.22,,Inner,Alive,No,,
B4,257,228,2023,rm,1,36.59,13.2,38.89,39.16,,Inner,Alive,No,,
B4,260,228,2023,rm,1,15.33,11.4,17.34,17.1,,Inner,Alive,No,,
B4,261,228,2023,rm,1,40.71,16.5,50.71,51.14,,Inner,Alive,No,,
B4,262,228,2023,ro,3,74.92,28.7,136.89,140.42,31.1,Inner,Alive,Yes,new 14.01,needs new band
B4,264,228,2023,rm,3,19.22,12.7,35.49,35.31,,Outer,Alive,No,inner 22.79,
B4,271,228,2023,rm,1,49.36,11.7,12.09,12.06,,Inner,Stressed,No,,- snapped
B4,271,228,2023,rm,2,NA,NA,,Na,,No Measurement,Stressed,No,,snapped
B4,272,228,2023,rm,2,38.92,25.7,95.07,99.91,,Inner,Alive,Yes,,
B4,273,228,2023,rm,2,58.31,15.5,,na,,Outer,Alive,No,,inner 75.18
B4,273,228,2023,rm,2,,,75.18,76.5,,Inner,Alive,Yes,,
B4,276,228,2023,rm,1,47.59,12.5,60.88,61.02,,Inner,Alive,No,,
B4,277,228,2023,ro,3,33.51,28.0,69.96,73.25,,Outer,Alive,No,,
B4,277,228,2023,ro,3,,,41.55,48.37,,Inner,Alive,No,,
B4,278,228,2023,rm,1,26.26,15.3,27.97,28.09,,Inner,Alive,No,18.10 inner,
B4,279,228,2023,rm,1,21.85,13.2,23.82,23.27,,Inner,Alive,No,,
B4,280,228,2023,ro,2,37.28,25.5,54.13,55.62,,Inner,Alive,No,,
B4,706,228,2023,rm,1,12.86,10.0,13.43,13.32,,Inner,Alive,No,,
B4,726,228,2023,ro,3,18.49,41.9,75.6,81.29,,Inner,Alive,No,,
B4,805,228,2023,beech,2,16.18,11.20,19.07,20.78,,Inner,Alive,No,,
B4,924,228,2023,beech,1,13.09,10.0,41.55,45.51,,Inner,Alive,No,,
C1,214,228,2023,bb,3,21.12,13.80,31.89,35.36,,Inner,Alive,No,,
C1,217,228,2023,hem,2,90.06,34.70,,119.42,,Inner,Alive,No,,
C1,217,228,2023,hem,3,15.47,35.90,14.2,15.21,,Inner,Alive,No,,
C1,351,228,2023,hem,6,NA,NA,22.82,24.79,,Inner,Alive,No,,
C1,352,228,2023,ro,2,41.51,47.2,76.91,79.44,,Inner,Alive,No,,
C1,353,228,2023,ro,2,33.75,42.8,72.29,75.57,,Inner,Alive,No,,
C1,354,228,2023,rm,2,48.76,25.1,55.76,56.12,,Inner,Alive,No,,
C1,355,228,2023,yb,2,16.41,14.0,37.48,37.38,,Inner,Alive,No,,
C1,356,228,2023,ro,2,50.68,39.1,88.82,90.89,,Inner,Alive,No,,
C1,360,228,2023,yb,2,37.31,18.7,44.32,44.24,,Inner,Alive,No,,
C1,361,228,2023,ro,4,16.06,64.6,50.93,56,,Inner,Alive,No,,
C1,362,228,2023,ro,1,81.01,42.3,92.23,92.71,,Inner,Dead,No,,probably dead
C1,363,228,2023,ro,2,39.46,37.1,84.86,88.69,,Inner,Alive,No,,
C1,366,228,2023,ro,1,84.48,36.5,,113.79,,Inner,Alive,No,,
C1,366,228,2023,ro,2,,,23.09,23.49,37.4,Inner,Alive,No,,new band added
C1,367,228,2023,ro,2,48.93,49.6,109.95,,,Inner,Alive,No,,
C1,367,228,2023,ro,3,,,12.47,14.81,50.8,Inner,Alive,No,,new band added
C2,291,228,2023,rm,1,52.92,18.8,53.32,53.94,,Inner,Stressed,No,,almost dead
C2,378,228,2023,ro,3,50.93,58.7,93.96,98.06,,Inner,Alive,No,,
C2,379,228,2023,rm,2,15.43,11.4,18.87,18.86,,Inner,Stressed,No,,top broken 
C2,380,228,2023,rm,1,50.27,21.6,56.66,59.88,,Inner,Alive,No,,
C2,382,228,2023,rm,1,38.72,20.6,49.93,50.72,,Inner,Alive,No,,
C2,385,228,2023,rm,1,32.60,15.9,37.56,37.75,,Inner,Alive,No,,
C2,386,228,2023,ro,3,42.63,42.0,81.11,83.66,,Inner,Alive,No,,
C2,388,228,2023,beech,3,48.32,17.1,72.74,74.82,,Outer,Alive,No,inner 65.12,
C2,390,228,2023,ro,3,16.93,54.8,33.35,37.49,,Inner,Alive,No,,
C2,391,228,2023,ro,2,59.88,49.0,100.13,103.98,50.5,Inner,Alive,No,New band 25.58,need new band 50.5 dbh
C2,392,228,2023,ro,3,34.60,60.4,67.33,70.79,,Inner,Alive,No,,
C2,829,228,2023,yb,2,14.53,12.3,16.41,16.49,,Inner,Alive,No,,
C2,830,228,2023,hem,2,24.26,13.7,79.39,81.59,15.9,Inner,Alive,Yes,new 21.19,need new band 15.9 dbh
C2,979,228,2023,rm,1,8.25,9.9,13.78,14.45,,Inner,Alive,No,,
C3,207,228,2023,hem,3,25.32,15.7,44.09,46.54,,Inner,Alive,No,,
C3,264,228,2023,hem,3,15.27,15.5,31.7,33.3,,Outer,Alive,No,20.42 inner,
C3,402,228,2023,rm,2,23.05,32.8,64.63,68.3,,Inner,Alive,No,,
C3,403,228,2023,rm,1,69.29,27.9,85.28,86.46,,Inner,Alive,No,,
C3,405,228,2023,yb,2,32.05,21.0,58.39,60.99,,Inner,Alive,No,,
C3,406,228,2023,ash,2,20.77,18.9,43.16,43.69,,Inner,Alive,No,,
